2021-10-06 16:47:51 startup archives install
2021-10-06 16:47:51 install base-passwd:amd64 <none> 3.5.47
2021-10-06 16:47:51 status half-installed base-passwd:amd64 3.5.47
2021-10-06 16:47:51 status unpacked base-passwd:amd64 3.5.47
2021-10-06 16:47:51 configure base-passwd:amd64 3.5.47 3.5.47
2021-10-06 16:47:51 status half-configured base-passwd:amd64 3.5.47
2021-10-06 16:47:52 status installed base-passwd:amd64 3.5.47
2021-10-06 16:47:52 startup archives install
2021-10-06 16:47:52 install base-files:amd64 <none> 11ubuntu5
2021-10-06 16:47:52 status half-installed base-files:amd64 11ubuntu5
2021-10-06 16:47:52 status unpacked base-files:amd64 11ubuntu5
2021-10-06 16:47:52 configure base-files:amd64 11ubuntu5 11ubuntu5
2021-10-06 16:47:52 status half-configured base-files:amd64 11ubuntu5
2021-10-06 16:47:52 status installed base-files:amd64 11ubuntu5
2021-10-06 16:47:52 startup archives install
2021-10-06 16:47:52 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2021-10-06 16:47:52 status half-configured dpkg 1.19.7ubuntu3
2021-10-06 16:47:52 status unpacked dpkg 1.19.7ubuntu3
2021-10-06 16:47:52 status half-installed dpkg 1.19.7ubuntu3
2021-10-06 16:47:52 status unpacked dpkg:amd64 1.19.7ubuntu3
2021-10-06 16:47:52 configure dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
2021-10-06 16:47:52 status half-configured dpkg:amd64 1.19.7ubuntu3
2021-10-06 16:47:52 status installed dpkg:amd64 1.19.7ubuntu3
2021-10-06 16:47:52 startup archives install
2021-10-06 16:47:52 install libc6:amd64 <none> 2.31-0ubuntu9
2021-10-06 16:47:52 status half-installed libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:52 status unpacked libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:52 configure libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2021-10-06 16:47:52 status half-configured libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:52 status installed libc6:amd64 2.31-0ubuntu9
2021-10-06 16:47:52 startup archives install
2021-10-06 16:47:52 install perl-base:amd64 <none> 5.30.0-9build1
2021-10-06 16:47:52 status half-installed perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:53 status unpacked perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:53 configure perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2021-10-06 16:47:53 status half-configured perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:53 status installed perl-base:amd64 5.30.0-9build1
2021-10-06 16:47:53 startup archives install
2021-10-06 16:47:53 install mawk:amd64 <none> 1.3.4.20200120-2
2021-10-06 16:47:53 status half-installed mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:53 status unpacked mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:53 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-10-06 16:47:53 status half-configured mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:53 status installed mawk:amd64 1.3.4.20200120-2
2021-10-06 16:47:53 startup archives unpack
2021-10-06 16:47:53 upgrade base-files:amd64 11ubuntu5 11ubuntu5
2021-10-06 16:47:53 status half-configured base-files:amd64 11ubuntu5
2021-10-06 16:47:53 status unpacked base-files:amd64 11ubuntu5
2021-10-06 16:47:53 status half-installed base-files:amd64 11ubuntu5
2021-10-06 16:47:53 status unpacked base-files:amd64 11ubuntu5
2021-10-06 16:47:53 upgrade base-passwd:amd64 3.5.47 3.5.47
2021-10-06 16:47:53 status half-configured base-passwd:amd64 3.5.47
2021-10-06 16:47:53 status unpacked base-passwd:amd64 3.5.47
2021-10-06 16:47:53 status half-installed base-passwd:amd64 3.5.47
2021-10-06 16:47:53 status unpacked base-passwd:amd64 3.5.47
2021-10-06 16:47:53 install bash:amd64 <none> 5.0-6ubuntu1
2021-10-06 16:47:53 status half-installed bash:amd64 5.0-6ubuntu1
2021-10-06 16:47:53 status unpacked bash:amd64 5.0-6ubuntu1
2021-10-06 16:47:53 install bsdutils:amd64 <none> 1:2.34-0.1ubuntu9
2021-10-06 16:47:53 status half-installed bsdutils:amd64 1:2.34-0.1ubuntu9
2021-10-06 16:47:53 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9
2021-10-06 16:47:53 install coreutils:amd64 <none> 8.30-3ubuntu2
2021-10-06 16:47:53 status half-installed coreutils:amd64 8.30-3ubuntu2
2021-10-06 16:47:53 status unpacked coreutils:amd64 8.30-3ubuntu2
2021-10-06 16:47:53 install dash:amd64 <none> 0.5.10.2-6
2021-10-06 16:47:53 status half-installed dash:amd64 0.5.10.2-6
2021-10-06 16:47:53 status unpacked dash:amd64 0.5.10.2-6
2021-10-06 16:47:53 install debconf:all <none> 1.5.73
2021-10-06 16:47:53 status half-installed debconf:all 1.5.73
2021-10-06 16:47:53 status unpacked debconf:all 1.5.73
2021-10-06 16:47:53 install debianutils:amd64 <none> 4.9.1
2021-10-06 16:47:53 status half-installed debianutils:amd64 4.9.1
2021-10-06 16:47:53 status unpacked debianutils:amd64 4.9.1
2021-10-06 16:47:53 install diffutils:amd64 <none> 1:3.7-3
2021-10-06 16:47:53 status half-installed diffutils:amd64 1:3.7-3
2021-10-06 16:47:53 status unpacked diffutils:amd64 1:3.7-3
2021-10-06 16:47:53 upgrade dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
